"Razveze zakonskih zvez po: STATISTIČNA REGIJA, LETO , TRAJANJE ZAKONSKE"
"ZVEZE"

"Pomurska"
" ";"2003"
" ";" ";"do 1 leta";2
" ";" ";"1 leto";1
" ";" ";"2 leti";5
" ";" ";"3 leta";6
" ";" ";"4 leta";5
" ";" ";"5-9 let";17
" ";" ";"10-14 let";22
" ";" ";"15-19 let";23
" ";" ";"20-24 let";16
" ";" ";"25 ali več let";25
" ";"2004"
" ";" ";"do 1 leta";2
" ";" ";"1 leto";1
" ";" ";"2 leti";3
" ";" ";"3 leta";4
" ";" ";"4 leta";3
" ";" ";"5-9 let";20
" ";" ";"10-14 let";22
" ";" ";"15-19 let";8
" ";" ";"20-24 let";23
" ";" ";"25 ali več let";23
" ";"2005"
" ";" ";"do 1 leta";0
" ";" ";"1 leto";2
" ";" ";"2 leti";0
" ";" ";"3 leta";4
" ";" ";"4 leta";1
" ";" ";"5-9 let";28
" ";" ";"10-14 let";22
" ";" ";"15-19 let";22
" ";" ";"20-24 let";19
" ";" ";"25 ali več let";17
" ";"2006"
" ";" ";"do 1 leta";1
" ";" ";"1 leto";2
" ";" ";"2 leti";9
" ";" ";"3 leta";2
" ";" ";"4 leta";2
" ";" ";"5-9 let";22
" ";" ";"10-14 let";26
" ";" ";"15-19 let";25
" ";" ";"20-24 let";19
" ";" ";"25 ali več let";24
" ";"2007"
" ";" ";"do 1 leta";1
" ";" ";"1 leto";3
" ";" ";"2 leti";4
" ";" ";"3 leta";2
" ";" ";"4 leta";2
" ";" ";"5-9 let";18
" ";" ";"10-14 let";25
" ";" ";"15-19 let";13
" ";" ";"20-24 let";21
" ";" ";"25 ali več let";24
" ";"2008"
" ";" ";"do 1 leta";0
" ";" ";"1 leto";3
" ";" ";"2 leti";1
" ";" ";"3 leta";3
" ";" ";"4 leta";2
" ";" ";"5-9 let";21
" ";" ";"10-14 let";21
" ";" ";"15-19 let";23
" ";" ";"20-24 let";24
" ";" ";"25 ali več let";31
" ";"2009"
" ";" ";"do 1 leta";3
" ";" ";"1 leto";3
" ";" ";"2 leti";7
" ";" ";"3 leta";6
" ";" ";"4 leta";1
" ";" ";"5-9 let";21
" ";" ";"10-14 let";22
" ";" ";"15-19 let";22
" ";" ";"20-24 let";15
" ";" ";"25 ali več let";21
" ";"2010"
" ";" ";"do 1 leta";2
" ";" ";"1 leto";6
" ";" ";"2 leti";2
" ";" ";"3 leta";4
" ";" ";"4 leta";7
" ";" ";"5-9 let";23
" ";" ";"10-14 let";18
" ";" ";"15-19 let";27
" ";" ";"20-24 let";21
" ";" ";"25 ali več let";23
" ";"2011"
" ";" ";"do 1 leta";1
" ";" ";"1 leto";4
" ";" ";"2 leti";2
" ";" ";"3 leta";9
" ";" ";"4 leta";7
" ";" ";"5-9 let";17
" ";" ";"10-14 let";18
" ";" ";"15-19 let";19
" ";" ";"20-24 let";20
" ";" ";"25 ali več let";26
" ";"2012"
" ";" ";"do 1 leta";0
" ";" ";"1 leto";2
" ";" ";"2 leti";4
" ";" ";"3 leta";4
" ";" ";"4 leta";1
" ";" ";"5-9 let";20
" ";" ";"10-14 let";13
" ";" ";"15-19 let";14
" ";" ";"20-24 let";17
" ";" ";"25 ali več let";34
" ";"2013"
" ";" ";"do 1 leta";2
" ";" ";"1 leto";8
" ";" ";"2 leti";3
" ";" ";"3 leta";6
" ";" ";"4 leta";4
" ";" ";"5-9 let";17
" ";" ";"10-14 let";21
" ";" ";"15-19 let";22
" ";" ";"20-24 let";15
" ";" ";"25 ali več let";27
" ";"2014"
" ";" ";"do 1 leta";1
" ";" ";"1 leto";6
" ";" ";"2 leti";6
" ";" ";"3 leta";6
" ";" ";"4 leta";5
" ";" ";"5-9 let";19
" ";" ";"10-14 let";18
" ";" ";"15-19 let";14
" ";" ";"20-24 let";16
" ";" ";"25 ali več let";34
"Podravska"
" ";"2003"
" ";" ";"do 1 leta";3
" ";" ";"1 leto";5
" ";" ";"2 leti";11
" ";" ";"3 leta";11
" ";" ";"4 leta";14
" ";" ";"5-9 let";73
" ";" ";"10-14 let";83
" ";" ";"15-19 let";66
" ";" ";"20-24 let";50
" ";" ";"25 ali več let";75
" ";"2004"
" ";" ";"do 1 leta";3
" ";" ";"1 leto";12
" ";" ";"2 leti";18
" ";" ";"3 leta";16
" ";" ";"4 leta";16
" ";" ";"5-9 let";76
" ";" ";"10-14 let";75
" ";" ";"15-19 let";70
" ";" ";"20-24 let";60
" ";" ";"25 ali več let";68
" ";"2005"
" ";" ";"do 1 leta";4
" ";" ";"1 leto";11
" ";" ";"2 leti";14
" ";" ";"3 leta";13
" ";" ";"4 leta";15
" ";" ";"5-9 let";78
" ";" ";"10-14 let";72
" ";" ";"15-19 let";78
" ";" ";"20-24 let";66
" ";" ";"25 ali več let";102
" ";"2006"
" ";" ";"do 1 leta";2
" ";" ";"1 leto";11
" ";" ";"2 leti";16
" ";" ";"3 leta";9
" ";" ";"4 leta";14
" ";" ";"5-9 let";78
" ";" ";"10-14 let";57
" ";" ";"15-19 let";76
" ";" ";"20-24 let";53
" ";" ";"25 ali več let";87
" ";"2007"
" ";" ";"do 1 leta";2
" ";" ";"1 leto";9
" ";" ";"2 leti";19
" ";" ";"3 leta";13
" ";" ";"4 leta";15
" ";" ";"5-9 let";65
" ";" ";"10-14 let";61
" ";" ";"15-19 let";65
" ";" ";"20-24 let";38
" ";" ";"25 ali več let";87
" ";"2008"
" ";" ";"do 1 leta";5
" ";" ";"1 leto";17
" ";" ";"2 leti";15
" ";" ";"3 leta";16
" ";" ";"4 leta";17
" ";" ";"5-9 let";65
" ";" ";"10-14 let";67
" ";" ";"15-19 let";61
" ";" ";"20-24 let";41
" ";" ";"25 ali več let";69
" ";"2009"
" ";" ";"do 1 leta";3
" ";" ";"1 leto";12
" ";" ";"2 leti";19
" ";" ";"3 leta";13
" ";" ";"4 leta";18
" ";" ";"5-9 let";84
" ";" ";"10-14 let";60
" ";" ";"15-19 let";67
" ";" ";"20-24 let";48
" ";" ";"25 ali več let";66
" ";"2010"
" ";" ";"do 1 leta";10
" ";" ";"1 leto";17
" ";" ";"2 leti";12
" ";" ";"3 leta";18
" ";" ";"4 leta";16
